judul,konten
"5 Cara Usir Lalat Buah Pakai Bahan Dapur, Tanpa Meracuni Makanan","KOMPAS.com - Lalat buah sering kali muncul di dapur dan mengerubungi buah yang sudah matang. Serangga kecil ini berkembang biak dengan cepat dan sulit diusir tanpa metode yang tepat. Selain mengganggu, lalat buah juga bisa membawa bakteri berbahaya seperti salmonella dan E. coli. Jika hinggap di makanan, lalat ini dapat menyebabkan kontaminasi yang membahayakan kesehatan. Banyak orang memilih menyemprotkan cairan pembasmi serangga untuk mengusir lalat buah. Namun, cara ini bisa berbahaya karena residunya bisa mencemari makanan yang masih bisa dikonsumsi. Artikel ini akan membahas 5 cara mengusir lalat buah tanpa meracuni makanan. Informasi ini dikutip dari Sajian Sedap dan WebMD yang membahas cara alami mengatasi hama dapur ini. Cuka apel memiliki aroma yang menarik bagi lalat buah. Bahan ini bisa digunakan sebagai perangkap alami untuk menjebak serangga tersebut. Caranya, campurkan beberapa sendok makan cuka apel, satu sendok gula, dan beberapa tetes sabun cuci piring dalam mangkuk kecil. Letakkan di dekat buah-buahan agar lalat buah tertarik, masuk, dan terperangkap di dalam cairan tersebut. Bau pedas dari merica atau bubuk cabai tidak disukai oleh lalat buah. Serangga ini akan menjauh jika mencium aroma yang menyengat. Campurkan bubuk cabai atau merica dengan air, lalu masukkan ke dalam botol semprot. Semprotkan di area dapur atau sekitar tempat penyimpanan buah agar lalat buah tidak datang lagi. Aroma menyengat dari kapur barus bisa menutupi aroma manis dari buah yang matang. Ini membuat lalat buah tidak tertarik untuk datang. Gerus kapur barus hingga menjadi butiran kecil, lalu letakkan di dekat buah-buahan. Pastikan wadah kapur barus tidak bisa dijangkau oleh anak-anak atau hewan peliharaan. Lalat buah bertelur di tempat lembap seperti kain lap kotor, saluran air, atau sisa makanan busuk. Membersihkan area ini akan mencegah serangga berkembang biak lebih banyak. Pastikan dapur tetap bersih, segera buang buah yang sudah membusuk, dan cuci saluran air dengan air panas untuk membunuh larva lalat buah. Cara paling efektif untuk mencegah lalat buah adalah dengan menyimpan buah di dalam kulkas. Jika ingin meletakkan buah di luar, gunakan tudung saji untuk melindunginya dari serangga. Dengan menutup buah secara rapat, aroma manisnya tidak akan menarik perhatian lalat buah. Ini membantu menjaga kebersihan dan keamanan makanan. Sebuah kiriman dibagikan oleh Foodplace (@my.foodplace)"
Serunya Memacu Adrenalin di River Tubing Pusur Adventure Klaten,"KOMPAS.com – Kali atau Sungai Pusur yang membentang dari Kabupaten Boyolali hingga Klaten, Jawa Tengah, tidak hanya bermanfaat untuk sektor pertanian. Sungai ini juga dimanfaatkan untuk sektor pariwisata, yakni untuk wisata river tubing di Klaten. Salah satu titik wisata river tubing adalah River Tubing Pusur Adventure (RTPA) di Kecamatan Polanharjo. Kompas.com bersama rombongan sempat menjajal langsung keseruan river tubing di sini pada Hari Kamis (20/2/2025). Jika melakukan river tubing di RTPA, wisatawan akan menjelajah sungai sejauh sekitar 740 meter menggunakan ban. Start river tubing RTPA dimulai dari Bendungan Ploso yang berada di sebelah timur Basecamp RTPA. Wisatawan akan dibawa naik pick up menuju titik start berserta perlengkapan keselamatan, mulai dari pelampung, helm, hingga ban. A post shared by Kompas.com (@kompascom) Setibanya di Bendungan Ploso, kami di-briefing terlebih dahulu. Kemudian, kami turun ke sungai dan bersiap untuk river tubing. Saat aktivitas dimulai, kami mulai mengapung di sungai satu per satu menggunakan ban dan menyusuri aliran sungai. Kondisi aliran sungai bervariasi. Sebagian tenang, sehingga kami bisa menikmati suasana alam yang asri. Namun, beberapa titik arusnya deras, sehingga kami cukup berdebar-debar saat melaluinya. Wisatawan tidak perlu khawatir karena sudah ada pemandu serta kru RTPA yang mendampingi dan mengamankan rute river tubing. Mereka akan segera memberikan pertolongan jika ada wisatawan yang tercebur ke sungai. Selain itu, tidak perlu khawatir tenggelam karena kita sudah memakai pelampung. Salah satu titik paling mendebarkan di rute river tubing RTPA adalah sebelum sampai garis akhir. Kami dihadapkan dengan aliran semacam air terjun setinggi kurang-lebih 3 meter. Meski menyeramkan, kami tetap menjajalnya. Dok. River Tubing Pusur Adventure Wisatawan di River Tubing Pusur Adventure, Klaten sedang meluncur. Saat terjun dari ketinggian, rasanya memang mendebarkan. Namun saat sudah sampai bawah, ternyata menyenangkan."
"Siapa yang Membayar Pecalang, Petugas Keamanan di Bali?","KOMPAS.com - Kehadiran organisasi masyarakat (ormas) Gerakan Rakyat Indonesia Bersatu (GRIB) Jaya di Bali, mendapat penolakan dari berbagai pihak. Wakil Gubernur Bali I Nyoman Giri Prasta beserta warga Bali melalui pemimpin adat Kelihan Adat Tainsiat Pande Nyoman Artawibawa, menolak GRIB Jaya. Selain itu, Ketua Pecalang Bali Made Mudra, juga menyampaikan penolakan terhadap GRIB Jaya. ""Jadi prinsipnya kami melihat bahwa di Bali ini kita sudah memiliki aparatur negara, baik itu TNI maupun Polri, yang bertalian dengan keamanan dan ketertiban masyarakat itu satu,"" kata Giri Prasta, dilaporkan Kompas.com, Selasa (6/5/2025). ""Yang kedua, dari 1.400 lebih desa adat, itu sudah memiliki pecalang desa adat. Nah, pecalang desa adat ini mempunyai peran untuk menjaga estetika wilayah adat itu sendiri,"" lanjutnya. Sebagai informasi, pecalang merupakan petugas keamanan desa adat di Bali. Bukan sebagai pekerjaan tetap seseorang, pecalang merupakan bentuk pengabdian masyarakat adat desa di Bali terhadap wilayahnya. Pecalang memang memiliki tugas utama sebagai penjaga keamanan, bahkan petugas lalu lintas bila diperlukan dalam acara besar. Namun, di balik pengabdiannya tersebut, pecalang umumnya memiliki pekerjaan utama sebagai petani, peternak, guru, bahkan Pegawai Negeri Sipil (PNS). Antara Foto/Nyoman Hendra Wibowo Pecalang atau petugas pengamanan desa adat di Bali memantau situasi di area pusat perbelanjaan saat Hari Raya Nyepi Tahun Baru Saka 1944 di wilayah Desa Sumerta Kelod, Denpasar, Bali, Kamis (3/3/2022). Meski diartikan sebagai bentuk pengabdian, pecalang tidak selalu pulang dengan tangan kosong. Pengamat pariwisata I Gede Pitana menuturkan, pecalang biasanya dibayar sesuai keikhlasan orang yang meminta bantuan petugas keamanan tradisional ini. ""Pecalang bukan profesi. Maka biasanya, yang membayar pecalang adalah yang memberikan gawai (pekerjaan), yang memberikan 'honorarium',"" jelas Pitana saat dihubungi Kompas.com, Selasa (6/5/2025). Upah pecalang tidak menentu sebab tak ada standar angka honorarium yang wajib diberikan pada pecalang. Pemberi kerja bisa membayar pecalang seikhlasnya sebagai tanda terima kasih atas bantuan yang diberikan. ""Walaupun sebenarnya kalau dilihat, honorarium itu jauh lebih kecil daripada ongkos buruh,"" lanjut Pitana. Pitana mencontohkan pembagian uang sesari atau uang sesajen yang terkumpul dari upacara adat di Bali. Sesari diibaratkan sebagai pecahan uang yang terdapat dalam kotak amal di masjid atau persembahan di gereja. ""Setelah selesai upacara, dihitung berapa sesari terkumpul. Katakanlah terkumpul sesari Rp 5 juta, uang itu yang diberikan sekadarnya kepada para pecalang,"" pungkas Pitana. A post shared by Kompas Travel (@kompas.travel)"
"Truk TNI Bermuatan Amunisi Meledak di Tol Gempol, Bawa Granat Tangan dan Peluru Kaliber Kecil","KOMPAS.com - Sebuah truk milik Kostrad yang mengangkut perlengkapan militer berupa amunisi dilaporkan meledak dan terbakar di Kilometer 774 Tol Gempol, Pasuruan, Jawa Timur, pada Senin (5/5/2025) malam. Ledakan hebat tersebut menarik perhatian warga sekitar dan sempat menutup akses lalu lintas di jalur tol utama itu. Komandan Kodim 0819/Pasuruan, Letnan Kolonel Arhanud Noor Iskak, membenarkan bahwa truk yang terbakar membawa perlengkapan militer sensitif, termasuk amunisi aktif. “Truk tersebut membawa perlengkapan dan personel dari Brigif 509/Kostrad Jember. Di dalamnya terdapat amunisi berupa granat tangan dan peluru kaliber kecil,” ujar Iskak dalam keterangannya kepada media di Pasuruan, Selasa (6/5/2025). Truk itu merupakan bagian dari rombongan empat kendaraan militer yang sedang dalam perjalanan dari Surabaya menuju Jember, usai bertugas di Papua. Letkol Noor Iskak menjelaskan bahwa meskipun terjadi ledakan pada truk bermuatan amunisi tersebut, korban jiwa yang tercatat bukan disebabkan langsung oleh ledakan. “Anggota yang meninggal bukan akibat ledakan ataupun percikan api, melainkan karena terjatuh dari ketinggian saat mencoba menyelamatkan diri,” jelasnya. Anggota berinisial U yang berada di truk ketiga panik ketika melihat kendaraan di depannya terbakar. Ia segera turun dan mencoba berlindung di balik tembok pembatas jalan tol. Namun karena visibilitas rendah, korban tidak menyadari adanya jurang sedalam 7 hingga 10 meter di balik tembok. “Korban dinyatakan meninggal dunia setelah dievakuasi ke RS Bhayangkara Pusdik Sabhara Porong, Sidoarjo,” kata Iskak. Kodim 0819 Pasuruan saat ini bekerja sama dengan pihak kepolisian untuk menyisir lokasi kejadian hingga radius satu kilometer guna memastikan tidak ada amunisi berbahaya yang tercecer. “Kami mengimbau masyarakat agar segera melapor jika menemukan benda mencurigakan seperti granat tangan atau peluru,” tegasnya. Adapun lalu lintas di ruas Tol Gempol yang sebelumnya sempat dialihkan kini telah kembali normal. Gerbang tol dibuka kembali sejak pukul 08.00 WIB dan arus kendaraan terpantau lancar. SUMBER: Antaranews"
"Como Kehilangan Assane Diao, Fabregas Tak Perlu Terlalu Cemas","KOMPAS.com - Como 1907, yang dimiliki oleh pengusaha Indonesia, mendapatkan kabar kurang baik. Bintang muda mereka, Assane Diao, mengalami cedera serius. Berita ini tentu jadi pukulan berat buat Como 1907. Sebab, Diao yang direkrut dari Real Betis pada Januari lalu, telah memberikan dampak positif bagi performa tim di putaran kedua kompetisi. Sebelum kedatangan Diao, Como hanya berhasil mengumpulkan 18 poin dari kemungkinan maksimal 54 angka dalam 18 laga Liga Italia. Namun, setelah kehadirannya, tim yang diakuisisi oleh Grup Djarum pada tahun 2019 ini meraih 21 poin dari 15 pertandingan. Patut dicatat pula, Como 1907 selalu mencatat kemenangan dalam 3 laga terakhir di pentas Serie A Liga i. Diao sendiri mencatatkan 8 gol dan 1 assist dalam 15 penampilannya bersama Como. Namun, Como yang dilatih oleh Cesc Fabregas kini harus kehilangan Assane Diao hingga akhir musim. Pemain berusia 19 tahun ini mengalami retak pada tulang metatarsal di kakinya saat latihan pada Rabu, 23 April 2025. Dia akan menjalani operasi dan diperkirakan memerlukan waktu pemulihan sekitar 2 bulan. Musim 2024-2025 pun harus berakhir lebih cepat untuk Diao, yang baru saja memutuskan untuk membela Timnas Senegal setelah sukses menjuarai Euro U19 2024 bersama Timnas U19 Spanyol. ""Saya melihat Diao sedih, saya ikut prihatin. Mengalami cedera adalah hal terburuk, apalagi saat dia sedang tampil bagus,"" tutur Fabregas, dilansir dari pemberitaan BolaSport. ""Dia bilang operasinya berjalan lancar. Dia akan siap untuk mengikuti pemusatan latihan kami berikutnya."" Walaupun absennya Diao menjadi pukulan berat, Como tetap bisa bersyukur. Sebab, Diao cedera ketika Como hampir bisa dipastikan selamat dari ancaman degradasi. Como kini berada di peringkat 12 klasemen Liga Italia dengan 39 poin. Artinya, mereka memiliki surplus 14 poin dari zona degradasi. Como dapat memastikan sintas alias bertahan di Serie A pada Minggu, 27 April 2025. Mereka tak perlu menang melawan Genoa pada pekan ke-34 asalkan Venezia dan Empoli, yang kini berada di zona degradasi, gagal meraih kemenangan."
Piramida Misterius Berusia 2.200 Tahun Ditemukan di Dekat Laut Mati,"KOMPAS.com - Tim arkeolog telah menemukan sebuah struktur berbentuk piramida misterius di Gurun Yudea, dekat Lembah Zohar (Nahal Zohar), di sepanjang pantai Laut Mati. Situs penggalian ini menyimpan berbagai artefak yang luar biasa terawat, berusia lebih dari 2.000 tahun. ""Penemuan ini sangat menarik dan bahkan menggetarkan, serta memiliki arti penting bagi penelitian arkeologi dan sejarah,"" kata Eli Escusido, Direktur Otoritas Barang Antik Israel (Israel Antiquities Authority), dalam sebuah pernyataan. Piramida ini dibangun dari batu-batu besar yang dipotong dengan tangan, masing-masing seberat ratusan kilogram. Namun, tujuan dari pembangunan struktur ini masih menjadi misteri. Para direktur penggalian menduga bahwa piramida tersebut mungkin berfungsi sebagai monumen bersejarah, makam, atau menara penjaga yang melindungi jalur perdagangan dari Laut Mati ke pelabuhan-pelabuhan di pesisir. Struktur ini berasal dari sekitar 2.200 tahun yang lalu, pada masa kekuasaan Dinasti Ptolemaik dan Kekaisaran Seleukia. Setelah kematian Alexander Agung pada tahun 323 SM, kerajaannya terbagi di antara para jenderalnya. Ptolemeus menguasai Mesir dan wilayah sekitarnya, termasuk Israel, sedangkan Seleukus menguasai wilayah utara yang kini merupakan bagian dari Timur Tengah. Pada tahun 200 SM, Kekaisaran Seleukia berhasil merebut wilayah yang kini menjadi Israel dari kekuasaan Ptolemaik. Karena piramida ini dibangun pada masa pergantian kekuasaan tersebut, para peneliti masih belum yakin apakah struktur ini didirikan di bawah pemerintahan Dinasti Ptolemaik atau Kekaisaran Seleukia. Namun, kedua kerajaan ini kemudian diambil alih oleh Kekaisaran Romawi pada abad ke-1 SM. Para arkeolog juga menemukan berbagai artefak di situs ini. Kondisi kelembapan rendah di gurun memungkinkan artefak tersebut terjaga dengan sangat baik selama ribuan tahun. ""Kelembapan yang sangat rendah menjaga benda-benda ini dengan luar biasa,"" kata Ido Zangen, salah satu arkeolog yang terlibat dalam penggalian, dalam sebuah video yang dirilis oleh Israel Antiquities Authority. Beberapa artefak yang ditemukan termasuk: Eva Balbin Brafman, seorang relawan di penggalian tersebut, menggambarkan pengalamannya saat menemukan bagian dari dokumen papirus di bagian atas situs. ""Huruf-hurufnya terlihat jelas, mungkin dalam bahasa Yunani,"" kata Balbin Brafman dengan penuh semangat. ""Sangat menakjubkan menemukan sesuatu dalam kondisi yang begitu terawat."" Tim arkeolog profesional, dibantu oleh para relawan, akan terus melanjutkan penggalian hingga 8 April dengan harapan dapat mengungkap lebih banyak informasi tentang struktur misterius ini. Penemuan ini tidak hanya memperkaya pengetahuan tentang masa lalu kawasan tersebut tetapi juga memberikan wawasan berharga tentang budaya, perdagangan, dan kehidupan masyarakat di era Ptolemaik dan Seleukia. Dengan berbagai artefak berharga dan kondisi luar biasa yang ditemukan di situs ini, para peneliti berharap dapat mengungkap lebih banyak rahasia tentang fungsi sebenarnya dari piramida misterius ini. ""Setiap temuan di sini membawa kita semakin dekat untuk memahami sejarah kawasan ini,"" tambah Zangen dengan optimisme."
Kumpulan Ucapan Hari Kartini 2025 untuk Ibu hingga Guru,"KOMPAS.com - Setiap tanggal 21 April diperingati Hari Kartini. Raden Ajeng Kartini merupakan Pahlawan Nasional Wanita yang memperjuangkan emansipasi atau kesetaraan hak-hak perempuan, khususnya di bidang pendidikan. Hari Kartini pertama kali dirayakan secara resmi tahun 1964, ditetapkan oleh presiden Soekarno.Berkat perjuangan Kartini, perempuan di Indonesia bisa mendapatkan hak yang sama dengan laki-laki dan tidak lagi dipandang sebelah mata. Terbukti saat ini banyak perempuan yang bisa mengenyam pendidikan hingga ke jenjang paling tinggi bahkan banyak pula perempuan yang bisa memiliki jabatan-jabatan strategis baik di pemerintahan maupun swasta. Untuk mengenang perjuangan Kartini, siswa di jenjang SD, SMP hingga SMA/SMK biasanya mengadakan berbagai acara untuk memeriahkan Hari Kartini. Sehingga memberikan ucapan selamat Hari Kartini untuk ibu hingga ibu guru adalah cara sederhana untuk memberikan apresiasi bagi mereka karena perjuangan yang telah mereka lakukan. Dilansir dari laman Kompas.com, Minggu (20/4/2025) berikut kumpulan ucapan Hari Kartini 2025 untuk ibu hingga para guru. Ucapan Hari Kartini 2025 sederhana ini bisa kamu kirim melalui pesan di aplikasi WhatsApp maupun tulisan tangan. Ibu menjadi sosok penting dalam keluarga. Ibu juga bisa dikatakan sebagai Kartini masa kini. Berikut inspirasi ucapan Hari Kartini untuk mengapresiasi perjuangannya: Guru juga punya peran penting untuk memajukan anak-anak Indonesia. Sehingga perjuangan para guru ini juga sama seperti yang dilakukan RA Kartini untuk memajukan generasi perempuan. Berikut kumpulan ucapan selamat Hari Kartini untuk para guru: Demikian ucapan Hari Kartini 2025 untuk ibu hingga para guru yang bisa kamu kirim. Selamat Hari Kartini, semoga perjuangan Kartini dulu selalu menginspirasi saat ini dan di masa yang akan datang."
Pemerintah Bakal Umumkan UN Versi Baru Digelar November Tahun Ini,"KOMPAS.com - Menteri Pendidikan Dasar dan Menengah (Mendikdasmen) Abdul Mu'ti mengatakan, pihaknya dekat segera mengumumkan ke masyarakat bahwa Tes Kemampuan Akademik (TKA) akan menjadi sarana evaluasi kemampuan siswa. Hal itu diungkapkan Mu'ti dalam acara Halal Bi Halal Pegawai Kemendikdasmen yang disiarkan secara daring, Selasa (8/4/2025). Adapun evaluasi kemampuan siswa yang dulu dilakukan pemerintah yakni melalui Ujian Nasional (UN) dan Asesmen Nasional (AN). ""Dalam waktu dekat juga kita akan menyampaikan Tes Kemampuan Akademik sebagai evaluasi baru,"" kata Mu'ti dikutip dari akun YouTube Kemendikdasmen, Selasa. Mu'ti menegaskan, saat ini pihaknya masih melakukan harmonisasi peraturan menteri terkait mekanisme TKA yang rencananya akan mulai digelar pada November 2025. Ia berharap peraturan menteri terkait TKA yang saat ini tengah di harmonisasi akan bisa selesai dalam waktu dekat. ""Sedang menunggu harmonisasi untuk terbitnya peraturan menteri dalam waktu yang tidak terlalu lama,"" ujarnya. Sebagai informasi, nantinya TKA akan dijadikan indikator untuk bisa siswa melanjutkan pendidikan dari SD ke SMP serta SMP ke SMA. Hal itu diungkapkan oleh Pelaksana tugas (Plt) Kepala Badan Standar Kurikulum dan Asesmen Pendidikan (BSKAP) Kementerian Pendidikan Dasar dan Menengah (Kemendikdasmen), Toni Toharudin. ""TKA ini juga akan menjadi berbagai indikator untuk masuk dari SD ke SMP dan SMP ke SMA. Untuk pelaksanaan TKA SD dan SMP akan mulai dilakukan pada tahun depan,"" kata Toni dikutip dari keterangan tertulis, Jumat (28/2/2025). Selain itu, lanjut Toni, TKA juga akan akan dijadikan tolok ukur seleksi masuk perguruan tinggi negeri (PTN) jalur prestasi atau kini dikenal dengan Seleksi Nasional Berdasarkan Prestasi (SNBP). Kendati demikian, Toni menegaskan bahwa TKA sifatnya tidak wajib dan tidak menjadi sebuah penilaian standar kelulusan. ""Kami juga sudah bersinergi dengan Majelis Rektor Perguruan Tinggi Negeri bahwa TKA ini akan menjadi indikator penilaian jalur prestasi,"" jelasnya."
"Harga Emas Antam, UBS, dan Galeri-24 Hari Ini 8 Mei 2025 di Pegadaian","JAKARTA, KOMPAS.com - Harga emas batangan Antam pada hari ini, Kamis (6/5/2025) tercatat mengalami kenaikan yang cukup signifikan. Emas dengan berat 1 gram dibanderol Rp 2.033.000 melonjak Rp 14.000 dibandingkan kemarin. Sementara untuk pecahan 0,5 gram, harga emas mencapai Rp 1.069.000 sedangkan untuk pecahan 2 gram, dipatok seharga Rp 4.003.000. Tidak hanya emas batangan Antam, harga emas batangan dari Galeri-24 juga mengalami kenaikan yang cukup signifikan. Emas Galeri-24 dengan berat 1 gram dijual seharga Rp 1.971.000 melonjak Rp 20.000 dari sebelumnya. Sementara untuk pecahan 0,5 gram, harga emas mencapai Rp 1.034.000, dan untuk pecahan 2 gram, dipatok seharga Rp 3.882.000. Pegadaian juga menyediakan berbagai jenis emas batangan Antam dengan harga terbaru tiap harinya. Berikut adalah rincian harga emas Antam, Galeri-24, dan UBS hari ini menurut laman Galeri 24:"
50 Ucapan Hari Waisak 2025 dalam Bahasa Inggris dan Bahasa Indonesia,"KOMPAS.com - Hari raya Waisak 2025 jatuh pada Senin (12/5/2025). Perayaan Waisak 2025 adalah momentum suci bagi umat beragama Buddha untuk memperingati Trisuci Waisak, yakni kelahiran, pencerahan, dan mangkatnya Sang Buddha Gautama. Hari Waisak dirayakan setiap tahunnya dengan berbagai cara, seperti berkumpul dengan keluarga atau menghadiri festival. Namun, bagi umat Buddha yang terkendala jarak sehingga tidak bisa merayakan Hari Waisak bersama keluarga, bisa mengirimkan ucapan berisi selamat. Berikut ini kumpulan ucapan Selamat hari Waisak 2025 baik dalam bahasa Inggris maupun bahasa Indonesia. Selain dikirimkan kepada sanak saudara dan rekan jauh, ucapan hari Waisak 2025 juga bisa menjadi ide caption di akun media sosial. Dihimpun dari Kontan dan Kompas.com, berikut ini ide ucapan Hari Waisak 2025 dalam Bahasa Inggris lengkap dengan artinya: 1. Do not dwell in the past, do not dream of the future, and concentrate the mind on the present moment. Therefore, make the most of this beautiful day by connecting to your inner self. Happy Vesak. (Artinya: Jangan terjebak masa lalu, jangan memimpikan masa depan, dan pusatkan pikiran pada saat ini. Oleh karena itu, manfaatkan hari yang indah ini dengan menghubungkannya ke batin Anda. Selamat Waisak). 2. The world bolds the thought of self, and from this arises false apprehension. The self is an error, an illusion, a dream. Open your eyes and awaken. See the things as they are and your happiness will come. Happy Vesak Day. (Artinya: Dunia menekankan pemikiran tentang diri, dan dari sini muncul pemahaman yang salah. Diri adalah kesalahan, ilusi, mimpi. Buka matamu dan bangunlah. Lihat hal-hal sebagaimana adanya dan kebahagiaan Anda akan datang. Selamat Hari Raya Waisak). 3. May your life be full of blessings and happiness this day of enlightenment wish you and your family a Happy Vesak. (Artinya: Semoga hidup Anda penuh berkah dan kebahagiaan pada hari pencerahan ini. Selamat Hari Raya Waisak kepada Anda dan keluarga) 4. Happy Buddha Purnima. Wishing that the teaching of the Buddha guides you and blesses you with peace. (Artinya: Selamat Buddha Purnima. Semoga ajaran Buddha bisa membimbing dan memberkati Anda dengan kedamaian). 5. Words have the power to both destroy and heal. When words are both true and kind, they can change our world for be better. Happy Buddha Purnima! (Artinya: Kata-kata dapat menghancurkan dan menyembuhkan. Ketika baik dan benar adanya, kata-kata dapat mengubah dunia kita menjadi lebih baik. Selamat Buddha Purnima!) 6. May this Vesak be a time of reflection for you. Happy Buddha Jayanti to you and your family. (Artinya: Semoga momen Waisak ini menjadi waktu refleksi bagi Anda. Selamat Buddha Jayanti (jaya atau penuh kebahagiaan untuk Anda sekeluarga). 7. Just as candles cannot burn without fire, men cannot live without a spiritual life. Hope you are always happy on Vesak Day. (Artinya: Seperti lilin yang tidak dapat menyala tanpa api, manusia tidak dapat hidup tanpa kehidupan spiritual. Semoga Anda selalu bahagia pada Hari Waisak). 8. May Buddha Purnima’s full moon today remove the darkness of ignorance from our lives and guide us to the path of peace and enlightenment! Happy Buddha Jayanti. (Artinya: Semoga bulan purnama dari Buddha Purnima hari ini dapat menghilangkan kegelapan dan ketidaktahuan dari hidup kita, serta bisa membimbing kita ke jalan kedamaian dan pencerahan. Selamat Buddha Jayanti). 9. Beyond the darkness there is light. Beyond the darkness there is wisdom. May the Lord Buddha guide you to the path of glory. Happy Buddha Purnima to you and your family. (Artinya: Di balik kegelapan, terdapat cahaya. Di balik kegelapan, terdapat kebijaksanaan. Semoga Sang Buddha membimbing Anda ke jalan kemuliaan. Selamat Buddha Purnima untuk Anda dan keluarga). 10. On this auspicious day, let us remember Lord Buddha’s teachings and spread the message of universal brotherhood and compassion for everyone. Warm wishes to you on Buddha Jayanti. (Artinya: Pada hari yang baik ini, marilah kita mengingat ajaran Sang Buddha dan menyebarkan pesan persaudaraan universal serta kasih sayang untuk semua orang. Salam hangat untuk Anda pada Buddha Jayanti). 11. Let us be grateful towards who made you meet with yourself. Wishing you have joyful life in Vesak Day (Artinya: Mari kita bersyukur kepada sosok yang membuat Anda menemui diri Anda sendiri. Semoga Anda memiliki kehidupan yang penuh sukacita pada Hari Waisak). 12. May Lord Buddha enlighten you on the path full of love, peace, and truth. Happy Buddha Purnima to you and your family! (Artinya: Semoga Sang Buddha mencerahkan Anda di jalan yang penuh cinta, kedamaian, dan kebenaran. Selamat Buddha Purnima untuk Anda dan keluarga!). 13. On this auspicious day, let us remember Lord Buddha’s teachings and spread the message of universal brotherhood and compassion for everyone. Warm wishes to you on Buddha Jayanti. (Artinya: Pada hari yang baik ini, marilah kita mengingat ajaran Sang Buddha dan menyebarkan pesan persaudaraan universal serta kasih sayang untuk semua orang. Salam hangat untuk Anda pada Buddha Jayanti). 14. May Lord Buddha destroys all sins and obstacles of our lives and guides us to the true path. Warm wishes to you on this auspicious day of Buddha Purnima! (Artinya: Semoga Sang Buddha menghilangkan semua dosa dan rintangan hidup kita, serta membimbing kita ke jalan yang benar. Salam hangat untuk Anda pada hari keberuntungan Buddha Purnima ini!) 15. May Lord Buddha’s preachings for right conduct, right motive, right speech, right effort, right resolve, and right livelihood can guide you. Happy Buddha Purnima to you. (Artinya: Semoga khotbah Sang Buddha tentang perilaku yang benar, sebab yang benar, ucapan yang benar, usaha yang benar, ketetapan hati yang benar, dan penghidupan yang benar dapat membimbing Anda. Selamat Buddha Purnima untuk Anda). 16. Wishes you have blessed in Buddha Purnima. Warm wishes to you on this auspicious day. Hope your life will be full of happiness. (Artinya: Semoga Anda diberkati pada Buddha Purnima. Salam hangat untuk Anda pada hari yang baik ini. Semoga hidup Anda penuh kebahagiaan).)"
Seberapa Besar Planet Jupiter?,"KOMPAS.com - Tahukah kamu bahwa di antara delapan planet yang mengisi tata surya kita, terdapat satu raksasa yang tak tertandingi? Ya, itu adalah Jupiter! Mari kita berpetualang dan menggali seberapa besar planet ini yang menakjubkan. Jupiter adalah planet terbesar di tata surya, dengan lebar sekitar 143.000 kilometer. Massanya lebih besar daripada massa gabungan seluruh planet di tata surya kita. Untuk lebih memaahami seberapa besar planet Jupiter, yuk kita simak penjelasannya di bawah ini! Dikutip dari NASA, Jupiter adalah planet terbesar di tata surya dengan lebar sekitar 143.000 kilometer (sekitar 89.000 mil) di ekuatornya. Bayangkan, Jupiter begitu besar hingga semua planet lainnya dapat muat di dalamnya! Bahkan, lebih dari 1.300 Bumi dapat bersarang dalam pelukannya yang luas. Massanya? Dua kali lipat dari total massa seluruh planet di tata surya kita! Jika kamu berjalan mengelilingi ekuator Jupiter, jarak yang harus ditempuh adalah 272.946 mil (439.264 km), lebih dari sepuluh kali jarak di sekitar garis tengah Bumi. Sungguh menakjubkan! Jupiter bukan sekadar raksasa biasa, ia juga mirip bintang dalam komposisinya. Seandainya Jupiter memiliki massa sekitar 80 kali lebih besar, ia bisa saja menjadi bintang, bukan hanya sebuah planet. Meskipun besar, Jupiter tetap jauh dari ukuran Matahari. Dengan diameter sekitar sepuluh kali lipat lebih besar dari Jupiter, Matahari adalah pusat di tata surya kita. Kamu bisa memasukkan sekitar 1.000 Jupiter ke dalam volume Matahari! Meskipun begitu, di antara semua planet, Jupiter tertap merupakan yang terbesar. Sebagai raksasa gas, Jupiter sebagian besar terdiri dari hidrogen dan helium. Dilansir dari Space, berat planet Jupiter mencapai 1,9 x 10²⁷ kilogram. Meskipun massanya jauh lebih besar dari Bumi, kepadatan Jupiter hanya seperlima dari Bumi, sekitar 1.326 kg/m³, karena terdiri dari gas. Jupiter berada di urutan kelima dari Matahari, dengan jarak rata-rata 5,2 satuan astronomi (AU), sedikit lebih dari lima kali jarak Bumi dari Matahari. Ketika malam tiba, Jupiter sering menjadi planet paling terang kedua di langit, setelah Venus. Nama Jupiter diambil dari raja para dewa dalam mitologi Romawi, mencerminkan kekuatannya yang mengesankan. Jupiter tidak hanya raksasa dalam ukuran, tetapi juga memiliki beberapa fitur menarik. Dilansir dari Scale of Universe, meskipun ukurannya besar, Jupiter adalah planet dengan rotasi tercepat di tata surya, menyelesaikan satu putaran dalam kurang dari 10 jam."
